Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Area [J]	Lower Bound [m]	Upper Bound [m]
map-data-2025.06.06-11.56.16.356_0000.jpk-force	0	-4.70689e-06	2.86671e-06	1.76384e-09		4.78079e-10	-4.78079e-10	6.97600e-07	6.95985e-16	6.58832e-07	5.47376e-06
map-data-2025.06.06-11.56.16.356_0001.jpk-force	1	-3.92564e-06	2.86671e-06	1.75546e-09		2.50297e-10	-2.50297e-10	7.69317e-07	6.95085e-16	6.89510e-07	5.49074e-06
map-data-2025.06.06-11.56.16.356_0002.jpk-force	2	-3.14439e-06	2.86671e-06	1.75071e-09		3.50411e-10	-3.50411e-10	6.99658e-07	6.77826e-16	6.89960e-07	5.48549e-06
map-data-2025.06.06-11.56.16.356_0003.jpk-force	3	-2.36314e-06	2.86671e-06	1.74369e-09		3.58285e-10	-3.58285e-10	7.44268e-07	6.39010e-16	6.99989e-07	5.49329e-06
map-data-2025.06.06-11.56.16.356_0004.jpk-force	4	-1.58189e-06	2.86671e-06	1.77201e-09		2.45616e-10	-2.45616e-10	3.31520e-06	5.50795e-16	1.71207e-06	5.50569e-06
map-data-2025.06.06-11.56.16.356_0005.jpk-force	5	-8.00641e-07	2.86671e-06	1.95417e-09		5.02197e-10	-5.02197e-10	5.51666e-06	4.41655e-16	3.65945e-06	5.52061e-06
map-data-2025.06.06-11.56.16.356_0006.jpk-force	6	-1.93924e-08	2.86671e-06	2.03781e-09		5.85368e-10	-5.85368e-10	5.53532e-06	4.29174e-16	3.82124e-06	5.53532e-06
map-data-2025.06.06-11.56.16.356_0007.jpk-force	7	7.61859e-07	2.86671e-06	2.10966e-09		4.76300e-10	-4.76300e-10	5.51865e-06	8.84462e-16	7.49566e-07	5.54240e-06
map-data-2025.06.06-11.56.16.356_0008.jpk-force	8	1.54311e-06	2.86671e-06	2.14561e-09		5.87126e-10	-5.87126e-10	8.01745e-07	1.08552e-15	7.61653e-07	5.55079e-06
map-data-2025.06.06-11.56.16.356_0009.jpk-force	9	2.32436e-06	2.86671e-06	2.15779e-09		4.42133e-10	-4.42133e-10	5.53752e-06	1.25711e-15	7.70121e-07	5.56390e-06
map-data-2025.06.06-11.56.16.356_0010.jpk-force	10	3.10561e-06	2.86671e-06	2.14101e-09		4.75093e-10	-4.75093e-10	5.57215e-06	1.29489e-15	7.81167e-07	5.57565e-06
map-data-2025.06.06-11.56.16.356_0011.jpk-force	11	3.88686e-06	2.86671e-06	2.11091e-09		4.85917e-10	-4.85917e-10	5.58355e-06	1.22901e-15	7.95548e-07	5.58620e-06
map-data-2025.06.06-11.56.16.356_0012.jpk-force	12	4.66811e-06	2.86671e-06	2.07082e-09		5.40956e-10	-5.40956e-10	5.60139e-06	1.21395e-15	8.07943e-07	5.60139e-06
map-data-2025.06.06-11.56.16.356_0013.jpk-force	13	5.44936e-06	2.86671e-06	2.00028e-09		4.98950e-10	-4.98950e-10	5.60037e-06	1.01720e-15	8.21189e-07	5.61255e-06
map-data-2025.06.06-11.56.16.356_0014.jpk-force	14	6.23061e-06	2.86671e-06	1.92986e-09		7.13982e-10	-7.13982e-10	8.54800e-07	8.22076e-16	1.06030e-06	5.62381e-06
map-data-2025.06.06-11.56.16.356_0015.jpk-force	15	7.01186e-06	2.86671e-06	1.86514e-09		7.03792e-10	-7.03792e-10	5.62935e-06	7.41050e-16	1.53694e-06	5.63219e-06
map-data-2025.06.06-11.56.16.356_0016.jpk-force	16	7.79311e-06	2.86671e-06	1.69972e-09		6.19020e-10	-6.19020e-10	5.63143e-06	5.03362e-16	3.82630e-06	5.64609e-06
map-data-2025.06.06-11.56.16.356_0017.jpk-force	17	8.57436e-06	2.86671e-06	1.81348e-09		5.44057e-10	-5.44057e-10	5.60740e-06	8.99567e-16	2.15845e-06	5.64690e-06
map-data-2025.06.06-11.56.16.356_0018.jpk-force	18	9.35561e-06	2.86671e-06	1.72894e-09		3.52476e-10	-3.52476e-10	3.94513e-06	6.93502e-16	8.72776e-07	5.65636e-06
map-data-2025.06.06-11.56.16.356_0019.jpk-force	19	1.01369e-05	2.86671e-06	1.83389e-09		4.55268e-10	-4.55268e-10	4.90879e-06	1.11273e-15	8.79825e-07	5.67126e-06
map-data-2025.06.06-11.56.16.356_0020.jpk-force	20	1.09181e-05	2.86671e-06	1.85009e-09		1.20420e-09	-1.20420e-09	1.53736e-06	9.23987e-16	1.54777e-06	5.67632e-06
map-data-2025.06.06-11.56.16.356_0021.jpk-force	21	1.16994e-05	2.86671e-06	1.73992e-09		3.25345e-10	-3.25345e-10	9.64007e-07	6.56042e-16	9.07571e-07	5.69917e-06
map-data-2025.06.06-11.56.16.356_0022.jpk-force	22	1.24806e-05	2.86671e-06	1.74087e-09		2.68104e-10	-2.68104e-10	1.13549e-06	6.50279e-16	9.08611e-07	5.69879e-06
map-data-2025.06.06-11.56.16.356_0023.jpk-force	23	1.32619e-05	2.86671e-06	1.74097e-09		2.61303e-10	-2.61303e-10	9.38320e-07	6.51104e-16	9.29970e-07	5.71928e-06
map-data-2025.06.06-11.56.16.356_0024.jpk-force	24	1.40431e-05	2.86671e-06	1.74350e-09		2.42437e-10	-2.42437e-10	2.58459e-06	6.57670e-16	9.34015e-07	5.72193e-06
map-data-2025.06.06-11.56.16.356_0025.jpk-force	25	1.48244e-05	2.86671e-06	1.74347e-09		3.57195e-10	-3.57195e-10	1.01515e-06	6.52605e-16	9.41064e-07	5.73058e-06
map-data-2025.06.06-11.56.16.356_0026.jpk-force	26	1.56056e-05	2.86671e-06	1.74388e-09		2.58490e-10	-2.58490e-10	9.78034e-07	6.68777e-16	9.63345e-07	5.75147e-06
map-data-2025.06.06-11.56.16.356_0027.jpk-force	27	1.63869e-05	2.86671e-06	1.85157e-09		4.14540e-10	-4.14540e-10	1.10030e-06	1.15046e-15	9.59040e-07	5.74974e-06
map-data-2025.06.06-11.56.16.356_0028.jpk-force	28	1.71681e-05	2.86671e-06	3.35795e-09		1.12397e-08	-1.12397e-08	7.82655e-06	2.31865e-14	5.93620e-06	1.07171e-05
map-data-2025.06.06-11.56.16.356_0029.jpk-force	29	1.79494e-05	2.86671e-06	1.80251e-09		4.40833e-10	-4.40833e-10	1.07200e-05	7.35634e-16	8.89022e-06	1.31575e-05
map-data-2025.06.06-11.56.16.356_0030.jpk-force	30	1.87306e-05	2.86671e-06	1.81994e-09		2.40293e-10	-2.40293e-10	1.07169e-05	5.58078e-16	9.87825e-06	1.43489e-05
map-data-2025.06.06-11.56.16.356_0031.jpk-force	31	1.95119e-05	2.86671e-06	1.83615e-09		1.22877e-09	-1.22877e-09	1.10016e-05	7.55432e-16	1.03544e-05	1.48733e-05
map-data-2025.06.06-11.56.16.356_0032.jpk-force	32	1.95119e-05	3.64796e-06	1.84884e-09		8.37085e-10	-8.37085e-10	1.15993e-05	6.78272e-16	1.13881e-05	1.59968e-05
map-data-2025.06.06-11.56.16.356_0033.jpk-force	33	1.87306e-05	3.64796e-06	1.85065e-09		2.58800e-10	-2.58800e-10	1.21957e-05	6.12012e-16	1.03740e-05	1.47792e-05
map-data-2025.06.06-11.56.16.356_0034.jpk-force	34	1.79494e-05	3.64796e-06	1.85011e-09		3.43245e-10	-3.43245e-10	1.03320e-05	6.65196e-16	9.30886e-06	1.38367e-05
map-data-2025.06.06-11.56.16.356_0035.jpk-force	35	1.71681e-05	3.64796e-06	1.83822e-09		2.99636e-10	-2.99636e-10	9.92115e-06	6.40519e-16	8.61747e-06	1.30038e-05
map-data-2025.06.06-11.56.16.356_0036.jpk-force	36	1.63869e-05	3.64796e-06	1.82386e-09		4.31233e-09	-4.31233e-09	8.31031e-06	5.57309e-15	7.12821e-06	9.33233e-06
map-data-2025.06.06-11.56.16.356_0037.jpk-force	37	1.56056e-05	3.64796e-06	1.88355e-09		6.19081e-10	-6.19081e-10	4.15603e-06	1.26603e-15	9.49295e-07	5.76370e-06
map-data-2025.06.06-11.56.16.356_0038.jpk-force	38	1.48244e-05	3.64796e-06	1.76283e-09		2.73042e-10	-2.73042e-10	9.85698e-07	6.72211e-16	9.50549e-07	5.75327e-06
map-data-2025.06.06-11.56.16.356_0039.jpk-force	39	1.40431e-05	3.64796e-06	1.76216e-09		2.86477e-10	-2.86477e-10	9.73611e-07	6.58121e-16	9.43713e-07	5.73550e-06
map-data-2025.06.06-11.56.16.356_0040.jpk-force	40	1.32619e-05	3.64796e-06	1.76764e-09		2.36586e-10	-2.36586e-10	9.73161e-07	6.72084e-16	9.37776e-07	5.73217e-06
map-data-2025.06.06-11.56.16.356_0041.jpk-force	41	1.24806e-05	3.64796e-06	1.76711e-09		2.75097e-10	-2.75097e-10	9.45913e-07	6.80909e-16	9.23939e-07	5.71500e-06
map-data-2025.06.06-11.56.16.356_0042.jpk-force	42	1.16994e-05	3.64796e-06	1.76758e-09		2.24165e-10	-2.24165e-10	9.82173e-07	6.73548e-16	9.08753e-07	5.69723e-06
map-data-2025.06.06-11.56.16.356_0043.jpk-force	43	1.09181e-05	3.64796e-06	1.77059e-09		3.96423e-10	-3.96423e-10	9.51093e-07	6.97584e-16	8.99055e-07	5.68725e-06
map-data-2025.06.06-11.56.16.356_0044.jpk-force	44	1.01369e-05	3.64796e-06	1.77215e-09		3.39318e-10	-3.39318e-10	9.09605e-07	6.51532e-16	8.86046e-07	5.67370e-06
map-data-2025.06.06-11.56.16.356_0045.jpk-force	45	9.35561e-06	3.64796e-06	1.76873e-09		2.43193e-10	-2.43193e-10	8.97210e-07	6.48442e-16	8.79187e-07	5.67083e-06
map-data-2025.06.06-11.56.16.356_0046.jpk-force	46	8.57436e-06	3.64796e-06	1.77433e-09		2.87342e-10	-2.87342e-10	8.72067e-07	6.54908e-16	8.65302e-07	5.65667e-06
map-data-2025.06.06-11.56.16.356_0047.jpk-force	47	7.79311e-06	3.64796e-06	1.78116e-09		3.23925e-10	-3.23925e-10	8.82876e-07	6.78243e-16	8.72847e-07	5.66244e-06
map-data-2025.06.06-11.56.16.356_0048.jpk-force	48	7.01186e-06	3.64796e-06	1.77886e-09		4.47084e-10	-4.47084e-10	9.83167e-07	6.32488e-16	8.55439e-07	5.64264e-06
map-data-2025.06.06-11.56.16.356_0049.jpk-force	49	6.23061e-06	3.64796e-06	1.78490e-09		2.52985e-10	-2.52985e-10	8.63954e-07	6.26006e-16	8.57142e-07	5.64555e-06
map-data-2025.06.06-11.56.16.356_0050.jpk-force	50	5.44936e-06	3.64796e-06	1.79115e-09		2.51799e-10	-2.51799e-10	8.61328e-07	6.54604e-16	8.33772e-07	5.62317e-06
map-data-2025.06.06-11.56.16.356_0051.jpk-force	51	4.66811e-06	3.64796e-06	1.79693e-09		2.82582e-10	-2.82582e-10	1.05611e-06	7.03333e-16	8.28663e-07	5.61932e-06
map-data-2025.06.06-11.56.16.356_0052.jpk-force	52	3.88686e-06	3.64796e-06	1.79630e-09		3.35319e-10	-3.35319e-10	8.41436e-07	6.79979e-16	8.13809e-07	5.60051e-06
map-data-2025.06.06-11.56.16.356_0053.jpk-force	53	3.10561e-06	3.64796e-06	1.79992e-09		3.22538e-10	-3.22538e-10	9.02461e-07	7.21562e-16	8.00279e-07	5.59056e-06
map-data-2025.06.06-11.56.16.356_0054.jpk-force	54	2.32436e-06	3.64796e-06	1.80742e-09		2.07113e-10	-2.07113e-10	4.73473e-06	4.84474e-16	1.14514e-06	5.58398e-06
map-data-2025.06.06-11.56.16.356_0055.jpk-force	55	1.54311e-06	3.64796e-06	1.81030e-09		3.91610e-10	-3.91610e-10	5.57265e-06	9.10220e-16	7.84147e-07	5.57343e-06
map-data-2025.06.06-11.56.16.356_0056.jpk-force	56	7.61859e-07	3.64796e-06	1.65786e-09		1.38069e-09	-1.38069e-09	5.55858e-06	1.11081e-15	3.10620e-06	5.57125e-06
map-data-2025.06.06-11.56.16.356_0057.jpk-force	57	-1.93924e-08	3.64796e-06	-2.73438e-11		5.20762e-09	-5.20762e-09	8.19782e-06	7.30142e-15	5.32725e-06	9.05996e-06
map-data-2025.06.06-11.56.16.356_0058.jpk-force	58	-8.00641e-07	3.64796e-06	1.72525e-09		3.84683e-10	-3.84683e-10	5.45812e-06	3.85898e-16	2.94228e-06	5.56094e-06
map-data-2025.06.06-11.56.16.356_0059.jpk-force	59	-1.58189e-06	3.64796e-06	1.42228e-09		3.60707e-10	-3.60707e-10	5.52939e-06	2.44967e-16	4.05907e-06	5.53755e-06
map-data-2025.06.06-11.56.16.356_0060.jpk-force	60	-2.36314e-06	3.64796e-06	1.11154e-09		3.78178e-10	-3.78178e-10	5.50245e-06	1.60097e-16	4.68759e-06	5.51818e-06
map-data-2025.06.06-11.56.16.356_0061.jpk-force	61	-3.14439e-06	3.64796e-06	9.25800e-10		-1.41446e-10	1.41446e-10	5.41058e-06			
map-data-2025.06.06-11.56.16.356_0062.jpk-force	62	-3.92564e-06	3.64796e-06	1.16537e-09		1.16231e-10	-1.16231e-10	5.48274e-06	4.94272e-18	5.41088e-06	5.51326e-06
map-data-2025.06.06-11.56.16.356_0063.jpk-force	63	-4.70689e-06	3.64796e-06	1.09329e-09		-3.52481e-11	3.52481e-11	5.41062e-06			
map-data-2025.06.06-11.56.16.356_0064.jpk-force	64	-4.70689e-06	4.42921e-06	1.69208e-09		2.80802e-10	-2.80802e-10	5.44424e-06	5.37858e-16	1.18564e-06	5.49528e-06
map-data-2025.06.06-11.56.16.356_0065.jpk-force	65	-3.92564e-06	4.42921e-06	1.84908e-09		2.86816e-10	-2.86816e-10	7.35469e-07	8.74074e-16	7.16002e-07	5.50611e-06
map-data-2025.06.06-11.56.16.356_0066.jpk-force	66	-3.14439e-06	4.42921e-06	1.81050e-09		3.50179e-10	-3.50179e-10	7.56189e-07	7.11343e-16	7.32914e-07	5.51808e-06
map-data-2025.06.06-11.56.16.356_0067.jpk-force	67	-2.36314e-06	4.42921e-06	1.81929e-09		5.83384e-10	-5.83384e-10	5.01301e-06	1.43060e-15	7.40578e-07	5.52669e-06
map-data-2025.06.06-11.56.16.356_0068.jpk-force	68	-1.58189e-06	4.42921e-06	1.83187e-09		5.03155e-10	-5.03155e-10	8.15796e-07	8.80803e-16	7.50134e-07	5.54041e-06
map-data-2025.06.06-11.56.16.356_0069.jpk-force	69	-8.00641e-07	4.42921e-06	1.82193e-09		2.93651e-10	-2.93651e-10	4.31488e-06	8.73284e-16	7.71091e-07	5.56260e-06
map-data-2025.06.06-11.56.16.356_0070.jpk-force	70	-1.93924e-08	4.42921e-06	1.83281e-09		3.27086e-10	-3.27086e-10	8.19202e-07	9.51659e-16	7.85330e-07	5.57660e-06
map-data-2025.06.06-11.56.16.356_0071.jpk-force	71	7.61859e-07	4.42921e-06	1.84117e-09		3.85455e-10	-3.85455e-10	5.16754e-06	1.08784e-15	7.89493e-07	5.57863e-06
