file_path;file_id;curve_idx;kcanti;defl_sens;scan_size_x_y_m;map_size_x_y_pixels;z_at_setpoint;hertz_ind_geometry;hertz_tip_parameter;hertz_apply_BEC;hertz_BEC_model;hertz_fit_hline_on_baseline;hertz_delta0;hertz_E;hertz_f0;hertz_slope;hertz_poisson_ratio;hertz_sample_height;hertz_MAE;hertz_MSE;hertz_RMSE;hertz_Rsquared;hertz_chisq;hertz_redchi;hertz_z_c;hertz_max_ind;ting_ind_geometry;ting_tip_parameter;ting_modelFt;ting_apply_BEC;ting_BEC_model;ting_fit_hline_on_baseline;ting_t0;ting_E0;ting_tc;ting_betaE;ting_f0;ting_poisson_ratio;ting_vdrag;ting_smooth_w;ting_idx_tm;ting_MAE;ting_MSE;ting_RMSE;ting_Rsquared;ting_chisq;ting_redchi;ting_v0t_app_vel;ting_v0r_ret_vel
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;0;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.4737551874628E-06;paraboloid;0.000000032;False;;False;8.46609487687912E-08;9535438.50085047;-1.53708616377418E-11;;0.5;;-4.69461197452566E-19;6.97832387534589E-22;2.64165173241021E-11;0.937091305689363;3.32348902938768E-08;1.10782967646256E-08;7.54722625687402E-07;5.78021618336604E-09;paraboloid;0.000000032;analytical;False;;False;1;501365.51007234;-0.00048794044494848;0.0100245203775939;8.00839453194522E-11;0.5;5,00E-07;5;157;1.27578384095505E-10;1.47629152290218E-19;3.84225392563034E-10;0.973517417813756;1.55754749195962E-07;3.89386872989906E-08;9.9933038626245E-05;9.761737565635E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;1;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.4907382927987E-06;paraboloid;0.000000032;False;;False;9.0272415232564E-08;12803124.220535;-1.74858423912953E-11;;0.5;;-2.76224360081531E-19;6.83099617420486E-22;2.6136174498585E-11;0.93099079719354;9.93400677355047E-09;3.31133559118349E-09;7.90273610812551E-07;4.92099184275804E-09;paraboloid;0.000000032;analytical;False;;False;1;481942.637926693;-0.00060464616971369;0.0100747753776303;5.94735994475117E-11;0.5;5,00E-07;5;155;1.21551968497746E-10;2.14169569832848E-19;4.62784582535814E-10;0.961235065262247;-1.34444934868012E-06;-3.3611233717003E-07;9.9226276526751E-05;9.7395980299882E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;2;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.4854872490876E-06;paraboloid;0.000000032;False;;False;8.62734579780348E-08;9198545.2999797;-1.10874574030601E-11;;0.5;;-5.39291561099621E-19;6.90423354664189E-22;2.62759082557424E-11;0.937211681009926;7.77556758200882E-09;2.59185586066961E-09;7.86465421454502E-07;6.01452392647456E-09;paraboloid;0.000000032;analytical;False;;False;1;463684.787067926;-0.000599591035276303;0.0101895986862339;1.19439994780502E-11;0.5;5,00E-07;5;156;8.63980593490344E-11;1.79796958318266E-19;4.24024714277677E-10;0.967273484184185;3.58033297662039E-07;8.95083244155097E-08;9.954275835042E-05;9.7318397311718E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;3;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.4932928546041E-06;paraboloid;0.000000032;False;;False;8.52650566691405E-08;11757332.3193762;-9.45853928145895E-12;;0.5;;-7.40443428331657E-20;6.06962815363545E-22;2.46366153390344E-11;0.950230749849327;3.95112739966451E-09;1.31704246655484E-09;7.95311774373201E-07;5.27490170594075E-09;paraboloid;0.000000032;analytical;False;;False;1;455887.037153835;-0.000592292962744146;0.0101796488875853;-1.86614502529611E-12;0.5;5,00E-07;5;156;6.02938991499538E-11;1.67334990304463E-19;4.09065997492413E-10;0.966390889493823;8.08310367967387E-07;2.02077591991847E-07;9.9389957709097E-05;9.728149808564E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;4;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.5056872100303E-06;paraboloid;0.000000032;False;;False;8.32896429724667E-08;4617004.06200483;2.17505157366594E-10;;0.5;;-1.66297319612269E-19;1.27844694533174E-21;3.57553764535034E-11;0.855487684989594;6.04708443319463E-09;2.01569481106488E-09;8.09054370752252E-07;8.26798758974257E-09;paraboloid;0.000000032;analytical;False;;False;1;441462.724498477;-0.000538349054041402;0.010000454746772;2.35370518088183E-11;0.5;5,00E-07;5;157;8.37549395500152E-11;1.21644749498721E-19;3.48776073575469E-10;0.974679531052991;4.50742066945078E-07;1.1268551673627E-07;9.9368669694052E-05;9.724365272556E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;5;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.52061247391185E-06;paraboloid;0.000000032;False;;False;8.62946684952849E-08;8040329.02795381;4.477298101156E-10;;0.5;;-3.40715606921748E-19;5.78048175782637E-22;2.404263246366E-11;0.843364645615465;1.37016479679059E-09;4.56721598930197E-10;8.23009847281751E-07;4.85779185147599E-09;paraboloid;0.000000032;analytical;False;;False;1;446658.972964174;-0.000623908894365271;0.010004680551288;-2.27287846726012E-11;0.5;5,00E-07;5;156;5.85754350394838E-11;1.59351311245185E-19;3.99188315516856E-10;0.967176612979357;2.24711889152374E-07;5.61779722880935E-08;9.9358735287031E-05;9.722473004552E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;6;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.53532485764295E-06;paraboloid;0.000000032;False;;False;8.73306216816567E-08;7303567.21702704;2.90369045214254E-10;;0.5;;-1.62429328503799E-19;1.04180499307907E-21;3.2277004090824E-11;0.805846303459293;3.86258183228769E-09;1.28752727742923E-09;8.39827379167301E-07;5.82229145368089E-09;paraboloid;0.000000032;analytical;False;;False;1;449934.469941351;-0.000575548984839443;0.0100162616109231;-3.88999939758625E-11;0.5;5,00E-07;5;156;7.61092780902987E-11;1.37087268918289E-19;3.70252979621082E-10;0.9701472865345;-3.21634029820422E-07;-8.04085074551054E-08;9.9368669694052E-05;9.7212430303494E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;7;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.5423972093079E-06;paraboloid;0.000000032;False;;False;8.49774090860278E-08;6452261.26279813;1.70405587098398E-10;;0.5;;-1.36882550116813E-19;6.90222135658441E-22;2.62720790128692E-11;0.880489951196641;3.95832487417015E-09;1.31944162472338E-09;8.44747275977702E-07;6.33733856610173E-09;paraboloid;0.000000032;analytical;False;;False;1;461119.989974485;-0.000628542839487356;0.010029373319;1.17337698740112E-11;0.5;5,00E-07;5;156;1.27255010853658E-10;2.00819378388812E-19;4.48128752022019E-10;0.963976060984029;-6.17557950570812E-07;-1.54389487642703E-07;9.942922227018E-05;9.7222837777516E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;8;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.55079414857565E-06;paraboloid;0.000000032;False;;False;6.68353673449162E-08;201415.457953248;6.12914025651145E-11;;0.5;;-2.61198376677084E-21;9.51737434030745E-22;3.08502420416882E-11;0.928588073976024;1.61090485306305E-08;5.36968284354352E-09;8.86046025165002E-07;5.67978646247588E-08;paraboloid;0.000000032;analytical;False;;False;1;434015.414103399;-6.1224920659804E-05;0.0100000000012362;-1.0558183788197E-10;0.5;5,00E-07;5;164;7.25682428663595E-19;9.31438827842745E-20;3.05194827584405E-10;0.978629952481488;4.86323000533413E-08;1.21580750133353E-08;9.939610758011E-05;9.7207699633484E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;9;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.56389810450335E-06;paraboloid;0.000000032;False;;False;8.92140345496563E-08;8454439.69268276;-1.86237985443924E-11;;0.5;;-5.84545404970089E-20;9.50689369622523E-22;3.0833251038814E-11;0.878769848873753;2.0838798390677E-08;6.94626613022567E-09;8.70056360531202E-07;5.37237361511218E-09;paraboloid;0.000000032;analytical;False;;False;1;494685.658029261;-0.000644968812206688;0.0100561138699682;4.72963537394236E-11;0.5;5,00E-07;5;156;1.13868347138205E-10;2.46377838063107E-19;4.96364622090562E-10;0.961741030919052;1.14169861852076E-06;2.85424654630189E-07;9.9376238766068E-05;9.7207226566483E-05
